Date,Close,High,Low,Open,Volume,Daily_Return,Volatility,MA7,MA21,RSI,Middle,Upper,Lower,Lag1,Lag2,Lag3,volatility_21
2020-02-10,9856.611328125,10165.765625,9784.5634765625,10115.5595703125,39386548075.0,-0.0257063244716865,0.0237764138259204,9736.93373325893,9232.25037202381,70.65798114453034,9256.5681640625,10311.839013805517,8201.297314319485,10116.673828125,9865.119140625,9795.943359375,0.022055062914503442
2020-02-11,10208.236328125,10210.052734375,9729.3349609375,9855.8916015625,37648059389.0,0.035674025108068,0.0236721104977342,9883.687081473214,9301.885695684525,69.35904339351434,9332.936181640625,10432.90680398256,8232.965559298691,9856.611328125,10116.673828125,9865.119140625,0.02295532460332571
2020-02-12,10326.0546875,10393.611328125,10202.3876953125,10202.3876953125,43444303830.0,0.0115414999798149,0.0191431600222912,9985.491489955357,9380.2275390625,72.23107129292164,9428.913134765626,10523.49219982008,8334.33406971117,10208.236328125,9856.611328125,10116.673828125,0.022704484034691583
2020-02-13,10214.3798828125,10457.626953125,10116.1611328125,10323.9609375,49356071373.0,-0.0108148569872175,0.0207043150840904,10054.71693638393,9466.316313244048,66.10756394269109,9517.360400390626,10562.072434799233,8472.648365982019,10326.0546875,10208.236328125,9856.611328125,0.021274650061033854
2020-02-14,10312.1162109375,10321.99609375,10125.5341796875,10211.55078125,43338264162.0,0.0095685033498174,0.0207229256226495,10128.45591517857,9555.20591517857,72.58427718799126,9614.573828125,10566.63625468285,8662.51140156715,10214.3798828125,10326.0546875,10208.236328125,0.021245032740140786
2020-02-15,9889.4248046875,10341.5556640625,9874.427734375,10313.8564453125,43865054831.0,-0.0409897830477971,0.0276956768020814,10131.928152901786,9627.66196986607,59.894460027095256,9679.203564453124,10507.862502179012,8850.544626727236,10312.1162109375,10214.3798828125,10326.0546875,0.023659916808855055
2020-02-16,9934.43359375,10053.96875,9722.38671875,9889.1796875,43374780305.0,0.0045512039326256,0.0256211871290996,10105.893833705357,9691.357375372025,61.77437810518702,9730.43427734375,10481.911114469349,8978.95744021815,9889.4248046875,10312.1162109375,10214.3798828125,0.023258823638213195
2020-02-17,9690.142578125,9938.8154296875,9507.6376953125,9936.560546875,45998298413.0,-0.0245903315291864,0.0254542742362907,10082.112583705357,9728.515625,57.34707256767288,9747.0119140625,10478.307318690853,9015.716509434145,9934.43359375,9889.4248046875,10312.1162109375,0.02323320761559424
2020-02-18,10141.99609375,10161.935546875,9632.3828125,9691.23046875,47271023953.0,0.0466302236506857,0.0283409478957603,10072.649693080357,9765.82068452381,65.81441256593504,9788.280224609374,10510.409961053161,9066.150488165587,9690.142578125,9934.43359375,9889.4248046875,0.022873851556388436
2020-02-19,9633.38671875,10191.67578125,9611.2236328125,10143.798828125,46992019710.0,-0.0501488435115282,0.0331284288798885,9973.69712611607,9780.904343377975,50.3204706130235,9794.49990234375,10508.599407479063,9080.400397208437,10141.99609375,9690.142578125,9934.43359375,0.025722237516830337
