Date,Close,High,Low,Open,Volume,Daily_Return,Volatility,MA7,MA21
2020-01-21,8745.89453125,8755.7060546875,8544.5205078125,8658.9912109375,24097418512.0,0.010193531591149663,0.015679580961206644,8787.48939732143,8148.8247302827385
2020-01-22,8680.8759765625,8792.994140625,8636.7470703125,8744.2109375,22600204051.0,-0.007434180055016837,0.015857142609362527,8769.470145089286,8219.33433314732
2020-01-23,8406.515625,8687.7470703125,8333.6376953125,8680.650390625,25770680779.0,-0.03160514587505292,0.01941526387045943,8724.145786830357,8287.003162202382
2020-01-24,8445.4345703125,8514.6669921875,8266.8408203125,8405.5673828125,24397913026.0,0.004629616722148233,0.015733222427615417,8655.0595703125,8339.410319010416
2020-01-25,8367.84765625,8458.453125,8296.21875,8440.119140625,19647331549.0,-0.00918684685986848,0.015182622080130829,8572.922293526786,8384.99083891369
2020-01-26,8596.830078125,8602.4013671875,8325.498046875,8364.41015625,22177678796.0,0.027364554337216074,0.018369279262625455,8557.291573660714,8441.443824404761
2020-01-27,8909.8193359375,8977.7265625,8597.30859375,8597.30859375,28647338393.0,0.036407519395889265,0.02311732398495896,8593.316824776786,8495.758114769345
2020-01-28,9358.58984375,9358.58984375,8908.447265625,8912.5244140625,34398744403.0,0.05036808165148732,0.029041176331572875,8680.8447265625,8552.657993861607
2020-01-29,9316.6298828125,9406.431640625,9269.4677734375,9357.470703125,30682598115.0,-0.004483577295090302,0.028764738021980155,8771.666713169643,8611.551664806548
2020-01-30,9508.9931640625,9553.1259765625,9230.8974609375,9316.0166015625,32378792851.0,0.02064730312029206,0.022002372757019162,8929.163504464286,8689.1669921875
2020-01-31,9350.529296875,9521.7060546875,9230.7763671875,9508.3134765625,29432489719.0,-0.016664631518128026,0.025367882317919026,9058.46275111607,8745.54675874256
2020-02-01,9392.875,9439.3232421875,9313.2392578125,9346.357421875,25922656496.0,0.00452869583961979,0.023668169633769887,9204.895228794643,8810.086635044643
2020-02-02,9344.365234375,9468.7978515625,9217.82421875,9389.8203125,30835736946.0,-0.0051645279666768795,0.024447357302723852,9311.685965401786,8864.93763950893
2020-02-03,9293.521484375,9540.3720703125,9248.6337890625,9344.68359375,30934096509.0,-0.005441113304621492,0.022597616838613065,9366.500558035714,8919.667503720239
2020-02-04,9180.962890625,9331.265625,9112.8115234375,9292.841796875,29893183716.0,-0.012111511652417528,0.012231792601500273,9341.125279017857,8936.48646763393
2020-02-05,9613.423828125,9701.2998046875,9163.7041015625,9183.416015625,35222060874.0,0.047104093835473426,0.02232964580452015,9383.5244140625,8974.88709077381
2020-02-06,9729.8017578125,9824.619140625,9539.818359375,9617.8212890625,37628823716.0,0.012105773319493585,0.02153207232160188,9415.06849888393,9022.79259672619
2020-02-07,9795.943359375,9834.716796875,9726.0029296875,9726.0029296875,34522718159.0,0.006797836503646293,0.019614464170007458,9478.69907924107,9064.073800223214
2020-02-08,9865.119140625,9876.7490234375,9678.91015625,9793.0703125,35172043762.0,0.007061676319697785,0.019588251748156746,9546.162527901786,9107.993350074405
2020-02-09,10116.673828125,10129.435546875,9850.392578125,9863.89453125,35807884663.0,0.02549940694219166,0.019791739247261374,9656.49232700893,9175.15662202381
2020-02-10,9856.611328125,10165.765625,9784.5634765625,10115.5595703125,39386548075.0,-0.025706324471686526,0.023776413825920432,9736.93373325893,9232.25037202381
2020-02-11,10208.236328125,10210.052734375,9729.3349609375,9855.8916015625,37648059389.0,0.03567402510806805,0.0236721104977342,9883.687081473214,9301.885695684523
2020-02-12,10326.0546875,10393.611328125,10202.3876953125,10202.3876953125,43444303830.0,0.011541499979814906,0.01914316002229129,9985.491489955357,9380.2275390625
2020-02-13,10214.3798828125,10457.626953125,10116.1611328125,10323.9609375,49356071373.0,-0.010814856987217514,0.02070431508409041,10054.71693638393,9466.316313244048
2020-02-14,10312.1162109375,10321.99609375,10125.5341796875,10211.55078125,43338264162.0,0.009568503349817403,0.020722925622649515,10128.45591517857,9555.20591517857
2020-02-15,9889.4248046875,10341.5556640625,9874.427734375,10313.8564453125,43865054831.0,-0.0409897830477971,0.02769567680208141,10131.928152901786,9627.66196986607
2020-02-16,9934.43359375,10053.96875,9722.38671875,9889.1796875,43374780305.0,0.004551203932625647,0.025621187129099676,10105.893833705357,9691.357375372023
2020-02-17,9690.142578125,9938.8154296875,9507.6376953125,9936.560546875,45998298413.0,-0.024590331529186438,0.025454274236290715,10082.112583705357,9728.515625
2020-02-18,10141.99609375,10161.935546875,9632.3828125,9691.23046875,47271023953.0,0.0466302236506857,0.028340947895760395,10072.649693080357,9765.82068452381
2020-02-19,9633.38671875,10191.67578125,9611.2236328125,10143.798828125,46992019710.0,-0.05014884351152826,0.03312842887988854,9973.69712611607,9780.904343377977
2020-02-20,9608.4755859375,9643.216796875,9507.900390625,9629.3251953125,44925260237.0,-0.0025859164113087862,0.03321570586945303,9887.139369419643,9785.6416015625
2020-02-21,9686.44140625,9723.0146484375,9589.7431640625,9611.7822265625,40930547513.0,0.008114275736580634,0.03309018972399522,9797.757254464286,9801.637416294643
2020-02-22,9663.181640625,9698.2314453125,9600.728515625,9687.70703125,35838025154.0,-0.002401270461409255,0.02981427622465587,9765.436802455357,9814.50916108631
2020-02-23,9924.515625,9937.404296875,9657.791015625,9663.318359375,41185185761.0,0.02704430011708836,0.03189318032360237,9764.019949776786,9842.13537016369
2020-02-24,9650.1748046875,9951.74609375,9537.04296875,9921.5830078125,45080496648.0,-0.027642741538078885,0.03230829129800693,9758.310267857143,9859.118861607143
2020-02-25,9341.705078125,9652.7373046875,9305.021484375,9651.3125,42515259129.0,-0.031965195740564556,0.026475323713191237,9643.982979910714,9866.773251488095
2020-02-26,8820.5224609375,9354.7783203125,8704.4267578125,9338.2900390625,50420050762.0,-0.05579095174048332,0.027900234902916835,9527.85951450893,9829.016043526786
2020-02-27,8784.494140625,8932.892578125,8577.19921875,8825.09375,45470195695.0,-0.0040846016176541156,0.027820018966865753,9410.147879464286,9784.001395089286
2020-02-28,8672.455078125,8890.4560546875,8492.9326171875,8788.728515625,44605450443.0,-0.012754184897438958,0.026335139859820264,9265.292689732143,9730.501953125
2020-02-29,8599.5087890625,8775.6318359375,8599.5087890625,8671.212890625,35792392544.0,-0.008411261679117432,0.02593680031975288,9113.339425223214,9670.234793526786
2020-03-01,8562.4541015625,8726.796875,8471.212890625,8599.7587890625,35349164300.0,-0.0043089307085921735,0.018997229595779402,8918.759207589286,9596.224330357143
2020-03-02,8869.669921875,8921.30859375,8532.630859375,8563.2646484375,42857674409.0,0.03587941221856461,0.02811585898772542,8807.258510044643,9549.227120535714
2020-03-03,8787.7861328125,8901.5986328125,8704.990234375,8865.3876953125,42386715821.0,-0.009231886844013548,0.026650759502709762,8728.127232142857,9481.586635044643
2020-03-04,8755.24609375,8843.3662109375,8712.431640625,8788.5419921875,34746706368.0,-0.0037028710724991143,0.016576543272188164,8718.802036830357,9406.786225818452
2020-03-05,9078.7626953125,9142.0546875,8757.25390625,8760.28515625,39698054597.0,0.03695117168590434,0.02173470126270882,8760.840401785714,9352.709216889882
2020-03-06,9122.5458984375,9167.6953125,9032.0791015625,9078.30859375,40826885651.0,0.004822595830994203,0.02032229698010569,8825.139090401786,9296.063011532739
2020-03-07,8909.9541015625,9163.220703125,8890.744140625,9121.6005859375,36216930370.0,-0.02330399860322019,0.022876016332268233,8869.48842075893,9249.421549479166
2020-03-08,8108.1162109375,8914.34375,8105.2529296875,8908.2060546875,39973102121.0,-0.08999349283790192,0.04297225955413019,8804.5830078125,9162.454055059523
2020-03-09,7923.64453125,8177.79345703125,7690.09814453125,8111.146484375,46936995808.0,-0.022751484424786028,0.03874085690144591,8669.4365234375,9078.33510044643
2020-03-10,7909.7294921875,8136.9453125,7814.76318359375,7922.14697265625,42213940994.0,-0.0017561412564156553,0.03903841938506988,8543.99986049107,8972.036690848214
2020-03-11,7911.43017578125,7950.814453125,7642.8125,7910.08984375,38682762605.0,0.00021501160000858555,0.03924235226544996,8423.45472935268,8890.038760230655
2020-03-12,4970.7880859375,7929.1162109375,4860.35400390625,7913.6162109375,53980357243.0,-0.37169538560117077,0.13600777856740187,7836.601213727678,8669.196498325893
2020-03-13,5563.70703125,5838.11474609375,4106.98095703125,5017.8310546875,74156772075.0,0.11928067241286833,0.15265369060078243,7328.195661272322,8472.875813802084
2020-03-14,5200.3662109375,5625.2265625,5125.0693359375,5573.07763671875,36154506008.0,-0.06530552710121185,0.1519914386602173,6798.254534040178,8260.360793340773
2020-03-15,5392.31494140625,5836.64501953125,5169.283203125,5201.06689453125,33997889639.0,0.036910617960911996,0.15558229762304887,6410.282924107143,8044.541713169643
2020-03-16,5014.47998046875,5385.2294921875,4575.35791015625,5385.2294921875,45368026430.0,-0.07006915676163483,0.15555413507197305,5994.68798828125,7823.794340587798
