Date,Close,High,Low,Open,Volume
,BTC-INR,BTC-INR,BTC-INR,BTC-INR,BTC-INR
2020-01-01,512853.96875,516907.3125,511971.78125,513003.0,1322395074997
2020-01-02,498416.75,514302.40625,494834.96875,513023.28125,1484238993887
2020-01-03,527076.25,531793.1875,493609.6875,498342.4375,2017307990333
2020-01-04,531796.125,532996.625,524538.0625,527111.5,1323579350948
2020-01-05,531863.1875,541400.625,531089.4375,531781.4375,1415543274095
2020-01-06,557805.0,558713.875,531717.9375,531801.0625,1671160912507
2020-01-07,587512.375,588557.5625,557733.8125,557766.4375,2070281271282
2020-01-08,577281.125,600555.6875,568201.1875,587385.9375,2262906174516
2020-01-09,560959.5625,577455.0,558355.625,577455.0,1711981944091
2020-01-10,579751.875,579751.875,548658.9375,560905.1875,2038477021654
2020-01-11,570347.625,583429.5,569787.375,579442.125,1810994405350
2020-01-12,581358.3125,581880.625,568326.75,570044.1875,1625280871582
2020-01-13,576030.0,581710.9375,572483.125,581165.125,1590191721617
2020-01-14,625492.125,629149.8125,575799.3125,575799.3125,3177269141934
2020-01-15,622867.0,629353.625,613792.0625,625320.625,2836232877784
2020-01-16,619001.5,625688.0625,609611.4375,623253.9375,2221902438919
2020-01-17,634351.875,636434.3125,615706.8125,619102.5,2584011354240
2020-01-18,635330.25,640259.875,627126.375,634222.1875,2297395017167
2020-01-19,618567.375,651070.1875,612402.375,635233.375,2431096034324
2020-01-20,615025.9375,621264.875,608360.3125,618452.75,1877005934605
2020-01-21,622532.8125,624098.5,608810.25,615121.75,1715254273782
2020-01-22,617293.625,626083.1875,613804.9375,622412.9375,1607091469955
2020-01-23,599645.0625,617782.25,595042.5625,617277.5625,1838248044065
2020-01-24,602374.8125,607112.75,589636.5625,599577.4375,1740193345513
2020-01-25,596840.9375,603303.375,591732.0,601995.75,1401355746375
2020-01-26,613184.875,613582.25,593820.3125,596595.75,1581864168398
2020-01-27,636606.5625,641593.25,613219.0,613219.0,2046852328192
2020-01-28,666709.6875,667903.9375,636508.625,636799.875,2450580310745
2020-01-29,664368.875,670772.625,660460.75,666629.9375,2187976071614
2020-01-30,680558.6875,682952.875,658255.3125,664325.1875,2317350204337
2020-01-31,668553.5,681468.5,658971.25,680510.0,2104393582428
2020-02-01,671581.1875,674902.1875,665887.25,668255.25,1853444016821
2020-02-02,668112.75,677009.5625,659065.1875,671362.8125,2204724355910
2020-02-03,662852.0,684760.1875,659653.375,668135.5625,2206346592799
2020-02-04,652858.25,665545.0625,649205.6875,662803.5625,2125704294051
2020-02-05,684379.6875,690637.5625,651634.6875,653032.6875,2507458513652
2020-02-06,693764.0625,699051.1875,679139.625,684692.6875,2683048017387
2020-02-07,700566.6875,702631.375,693493.1875,693493.1875,2468926711893
2020-02-08,705513.875,706345.625,692196.9375,700361.25,2515363881671
2020-02-09,723501.875,724416.6875,704460.625,705426.3125,2560829016702
2020-02-10,702781.3125,724707.25,698040.5625,723422.1875,2808280571000
2020-02-11,727697.125,727156.875,692920.3125,702730.0,2683752944404
2020-02-12,736310.6875,740825.3125,727280.1875,727280.1875,3097843960238
2020-02-13,728065.625,746933.25,721489.6875,736161.375,3518026733355
2020-02-14,737593.6875,739034.75,722497.875,727864.0,3099851686858
2020-02-15,707359.875,739699.4375,706287.1875,737718.1875,3137531390392
2020-02-16,710589.75,719129.25,695412.1875,707342.375,3102509594071
2020-02-17,691482.6875,710903.25,678785.4375,710741.875,3282410515761
2020-02-18,726014.75,727619.875,689702.625,691560.3125,3383895918809
2020-02-19,689985.5625,730122.0,688591.8125,726143.75,3365775216511
